No.,Province,Country
1,Aceh,Indonesia
2,Sumatera Utara,Indonesia
3,Sumatera Barat,Indonesia
4,Riau,Indonesia
5,Jambi,Indonesia
6,Sumatera Selatan,Indonesia
7,Bengkulu,Indonesia
8,Lampung,Indonesia
9,Bangka Belitung,Indonesia
10,Kepulauan Riau,Indonesia
11,DKI Jakarta,Indonesia
12,Jawa Barat,Indonesia
13,Jawa Tengah,Indonesia
14,DI Yogyakarta,Indonesia
15,Jawa Timur,Indonesia
16,Banten,Indonesia
17,Bali,Indonesia
18,Nusa Tenggara Barat,Indonesia
19,Nusa Tenggara Timur,Indonesia
20,Kalimantan Barat,Indonesia
21,Kalimantan Tengah,Indonesia
22,Kalimantan Selatan,Indonesia
23,Kalimantan Timur,Indonesia
24,Sulawesi Utara,Indonesia
25,Sulawesi Tengah,Indonesia
26,Sulawesi Selatan,Indonesia
27,Sulawesi Tenggara,Indonesia
28,Gorontalo,Indonesia
29,Sulawesi Barat,Indonesia
30,Maluku,Indonesia
31,Maluku Utara,Indonesia
32,Papua Barat,Indonesia
33,Papua,Indonesia
